Name,Description,Tags,URL,Funding,LaunchDate,MarketCap,XFollowers,Status,Investors,XHandle,Logo
Rocket Pool,Decentralized Ethereum staking protocol with permissionless node operation,DeFi|Infrastructure,https://rocketpool.net,$0,2021-11-09,$920M,150000,Live,Community Driven,@Rocket_Pool,https://icons.llama.fi/rocket-pool.jpg
MetaMask,Leading self-custodial crypto wallet for accessing Web3 applications,Infrastructure,https://metamask.io,$0,2016-07-14,$7B,1500000,Live,ConsenSys,@MetaMask,https://upload.wikimedia.org/wikipedia/commons/3/36/MetaMask_Fox.svg
WalletConnect,Open protocol connecting wallets to dApps with secure encrypted communications,Infrastructure,https://walletconnect.com,$23.5M,2019-10-08,$0,260000,Live,Union Square Ventures|1kx|Coinbase Ventures,@WalletConnect,
Gnosis Chain,EVM-compatible blockchain focused on payments and identity,Infrastructure|Layer2,https://gnosis.io,$107.5M,2021-12-08,$420M,240000,Live,Digital Currency Group|Placeholder VC,@gnosischain,
Scroll,zkEVM Layer 2 solution providing native Ethereum compatibility with zero-knowledge proofs,Layer2|ZK,https://scroll.io,$80M,2023-10-10,$1.1B,580000,Live,Polychain Capital|Bain Capital Crypto|Robot Ventures,@Scroll_ZKP,https://icons.llama.fi/scroll-bridge.jpg
Starknet,Decentralized validity rollup using STARK proofs for unlimited scalability,Layer2|ZK,https://starknet.io,$273M,2021-11-29,$1.8B,820000,Live,Paradigm|Sequoia|Greenoaks Capital,@Starknet,https://icons.llama.fi/starknet-bridge.png
LayerZero,Omnichain interoperability protocol enabling seamless cross-chain communication,Bridge|Infrastructure,https://layerzero.network,$261M,2022-03-31,$3.0B,890000,Live,a16z|Sequoia|FTX Ventures,@LayerZero_Labs,
Across,Fast and capital-efficient bridge for moving assets across chains,Bridge|DeFi,https://across.to,$10M,2021-11-15,$0,120000,Live,Placeholder VC|Blockchain Capital|Bain Capital Crypto,@AcrossProtocol,https://icons.llama.fi/across.png
Hop Protocol,Scalable rollup-to-rollup general token bridge,Bridge|Layer2,https://hop.exchange,$22M,2021-07-13,$0,85000,Live,Paradigm|Chapter One|1kx,@HopProtocol,https://icons.llama.fi/hop-protocol.jpg
Connext,Modular interoperability protocol for secure cross-chain communication,Bridge|Infrastructure,https://connext.network,$29M,2021-11-03,$0,95000,Live,Polychain Capital|1kx|Coinbase Ventures,@ConnextNetwork,https://icons.llama.fi/connext.png
Filecoin,Decentralized storage network for humanity's most important information,DePIN|Infrastructure,https://filecoin.io,$257.6M,2020-10-15,$2.4B,420000,Live,Sequoia Capital|a16z|Union Square Ventures,@Filecoin,
Arweave,Permanent decentralized data storage protocol,DePIN|Infrastructure,https://arweave.org,$93.3M,2020-06-08,$780M,320000,Live,a16z|Coinbase Ventures|Union Square Ventures,@ArweaveEco,
Render Network,Distributed GPU rendering network for creators and developers,DePIN,https://rendernetwork.com,$30M,2020-04-27,$1.2B,450000,Live,Multicoin Capital|Alameda Research|Solana Ventures,@rendernetwork,
Helium,Decentralized wireless network powered by the people,DePIN,https://helium.com,$364M,2019-07-29,$850M,680000,Live,a16z|Multicoin Capital|Ribbit Capital,@helium,
Livepeer,Decentralized video transcoding network reducing costs by 50x,DePIN,https://livepeer.org,$52M,2018-05-01,$320M,95000,Live,Northzone|Coinbase Ventures|6th Man Ventures,@Livepeer,
Dune Analytics,Blockchain analytics platform for querying and visualizing on-chain data,Data & Analysis,https://dune.com,$79.6M,2020-05-15,$1B,520000,Live,Coatue|Union Square Ventures|Dragonfly,@DuneAnalytics,
Nansen,Blockchain analytics platform providing actionable insights on crypto trends,Data & Analysis,https://nansen.ai,$88M,2020-03-01,$750M,340000,Live,a16z|Accel|GIC,@nansen_ai,
Etherscan,Leading Ethereum blockchain explorer and analytics platform,Data & Analysis|Infrastructure,https://etherscan.io,$0,2015-08-07,$0,1200000,Live,Bootstrapped,@etherscan,https://etherscan.io/images/brandassets/etherscan-logo-circle.png
DefiLlama,Largest TVL aggregator for DeFi protocols across all chains,Data & Analysis|DeFi,https://defillama.com,$0,2021-08-23,$0,280000,Live,Community Driven,@DefiLlama,https://icons.llama.fi/defil.jpg
Ondo Finance,Institutional-grade blockchain-based financial products and services,RWA|DeFi,https://ondo.finance,$24M,2021-04-01,$1.5B,180000,Live,Pantera Capital|Coinbase Ventures|Tiger Global,@OndoFinance,Ondo_Finance.ico
Centrifuge,Real-world asset tokenization platform connecting DeFi with traditional finance,RWA|DeFi,https://centrifuge.io,$53.3M,2020-05-01,$420M,95000,Live,IOSG Ventures|ParaFi Capital|Rockaway Blockchain Fund,@centrifuge,https://icons.llama.fi/centrifuge-protocol.jpg
Goldfinch,Decentralized credit protocol for lending without crypto collateral,RWA|DeFi,https://goldfinch.finance,$37M,2021-01-11,$180M,78000,Live,a16z|Coinbase Ventures|Kindred Ventures,@goldfinch_fi,https://icons.llama.fi/goldfinch.png
Maple Finance,Institutional capital marketplace for digital asset lending,RWA|DeFi,https://maple.finance,$51.3M,2021-05-11,$250M,65000,Live,Alameda Research|Framework Ventures|Polychain Capital,@maplefinance,Maple_Finance.ico
Pendle,DeFi protocol enabling trading of tokenized future yield,DeFi,https://pendle.finance,$18.7M,2021-06-28,$680M,340000,Live,Mechanism Capital|Bixin Ventures|Spartan Group,@pendle_fi,https://icons.llama.fi/pendle.jpg
Redstone,Modular oracle providing frequently updated and diverse data feeds,Infrastructure|Data & Analysis,https://redstone.finance,$15M,2021-09-15,$0,48000,Live,Lemniscap|Blockchain Capital|Distributed Global,@redstone_defi,https://icons.llama.fi/redstone-oracles.jpg
Flashbots,Research organization working on mitigating MEV extraction,Infrastructure,https://flashbots.net,$70M,2020-12-15,$0,180000,Live,Paradigm|Variant Fund|1kx,@flashbots,
ConsenSys,Leading Ethereum software company building infrastructure and tools,Infrastructure,https://consensys.io,$725M,2014-10-01,$7B,520000,Live,SoftBank|Temasek|ParaFi Capital,@consensys,
Infura,Scalable blockchain infrastructure providing API access to Ethereum,Infrastructure,https://infura.io,$0,2016-11-01,$0,240000,Live,ConsenSys,@infura_io,
Alchemy,Web3 development platform powering top blockchain applications,Infrastructure,https://alchemy.com,$546M,2019-12-01,$10.2B,380000,Live,a16z|Lightspeed|Coatue,@AlchemyPlatform,
QuickNode,Fast and reliable blockchain infrastructure for developers,Infrastructure,https://quicknode.com,$110M,2017-07-01,$800M,150000,Live,Tiger Global|Seven Seven Six|Alexis Ohanian,@QuickNode,
Unichain,The L2 designed for DeFi,Layer2|DeFi,https://unichain.org,$0,2024-10-10,$0,340000,Active,Uniswap Foundation,@unichain,https://icons.llama.fi/unichain-bridge.jpg
Blast,Ethereum L2 with native yield,Layer2|DeFi,https://blast.io,$20M,2024-02-29,$60M,460000,Active,Paradigm|Standard Crypto|eGirl Capital,@Blast_L2,https://icons.llama.fi/blast-pre-launch-farm.png
Ethena,ETH based delta-neutral stablecoin,DeFi,https://ethena.fi,$106.5M,2024-04-01,$0,720000,Active,Dragonfly|Franklin Templeton|F-Prime Capital,@ethena_labs,https://icons.llama.fi/bouncebit-ethena.jpg
Superstate,Blockchain-based government bond fund,DeFi|RWA,https://superstate.co,$18M,2023-06-28,$0,24000,Active,Distributed Global|CoinFund|ParaFi Capital|1kx|Cumberland Ventures,@superstatehq,https://icons.llama.fi/superstate-uscc.jpg
Aethir,Decentralized enterprise-level GPU cloud network,DePIN,https://aethir.com,$9M,2024-06-01,$344M,580000,Active,Framework Ventures|Merit Circle|Hashkey Capital,@AethirCloud,https://icons.llama.fi/aethir.png
Puffer Finance,Anti-Slashing Liquid Staking,DeFi,https://puffer.fi,$24.1M,2022-11-01,$0,250000,Active,Brevan Howard|Electric Capital|Lightspeed Venture Partners,@puffer_finance,Puffer_Finance.webp
Taiko,Decentralized, Ethereum-equivalent ZK-Rollup,Layer2|ZK,https://taiko.xyz,$37M,2024-05-29,$0,1100000,Active,Lightspeed Faction|Hashed|Generative Ventures|Sequoia China,https://icons.llama.fi/taiko.png
Eclipse,Customizable, modular rollups,Layer2,https://eclipse.xyz,$65M,2024-11-07,$0,320000,Active,Placeholder VC|Hack VC|Polychain Capital,https://icons.llama.fi/eclipse-bridge.jpg
Particle Network,Chain abstract infrastructure provider,Infrastructure,https://particle.network,$25M,2022-04-01,$0,460000,Active,The Spartan Group|Gumi Cryptos Capital|Binance Labs,@ParticleNtwrk,Particle_Network.webp
Hyperlane,Cross-chain messaging protocol,Bridge|Infrastructure,https://hyperlane.xyz,$18.5M,2022-09-22,$0,180000,Active,Variant Fund|Galaxy Ventures|CoinFund|Circle,@Hyperlane,https://icons.llama.fi/hyperlane.jpg
AltLayer,Execution and elastic scaling layer as blockchain,Layer2|Infrastructure,https://altlayer.io,$21.6M,2022-07-01,$0,490000,Active,Polychain Capital|Hack VC|Binance Labs|Jump Crypto,@alt_layer,
EigenCloud,Verifiable Cloud Service Platform,Infrastructure,https://eigencloud.xyz,$70M,2025-06-17,$0,120000,Active,a16z,@eigencloud,https://icons.llama.fi/eigencloud.png
Bubblemaps,Innovative Visuals for Blockchain Data,Data & Analysis,https://bubblemaps.io,$3.2M,2021-09-01,$10.3M,180000,Active,INCE Capital|Stake Capital|Coliseum,@bubblemaps,
Parallel,Sci-Fi Franchise and Card Game,Gaming|NFT,https://parallel.life,$85M,2021-10-01,$0,420000,Active,Paradigm|Focus Labs|Yunt Capital,@ParallelNFT,https://icons.llama.fi/parallel-super-app.png
Manifold,Enabling creative sovereignty in web3,Infrastructure,https://manifold.xyz,$0,2021-09-01,$0,45000,Active,Andreessen Horowitz|Initialized Capital,@manifoldxyz,Manifold.webp
OlympusDAO,Decentralized reserve currency protocol,DeFi,https://olympusdao.finance,$0,2021-03-01,$0,180000,Active,Community Driven,@OlympusDAO,OlympusDAO.webp
Ribbon Finance,Crypto structured products for DeFi,DeFi,https://ribbon.finance,$16.6M,2021-02-01,$4.36M,95000,Active,Paradigm|Dragonfly|Coinbase Ventures,@ribbonfinance,https://icons.llama.fi/ribbon-finance.png
Galxe,Web3 credential data network,Infrastructure,https://galxe.com,$10M,2022-01-25,$0,890000,Active,Multicoin Capital|Dragonfly Capital,@Galxe,https://icons.llama.fi/gravity-by-galxe.png
LooksRare,Community-first NFT marketplace,NFT,https://looksrare.org,$0,2022-01-10,$0,250000,Active,Community Driven,@LooksRare,https://icons.llama.fi/looksrare.jpg
Loot,Building the Lootverse,Gaming|NFT,https://lootproject.com,$0,2021-08-27,$0,76000,Active,Community Driven,@lootproject,Loot.webp
Ronin,Ethereum sidechain built by Sky Mavis,Layer2,https://roninchain.com,$150M,2021-02-01,$0,680000,Active,Binance|Animoca Brands|a16z,@Ronin_Network,https://icons.llama.fi/ronin-bridge.jpg
Aurory,Free-to-play, tactical, turn-based RPG,Gaming,https://aurory.io,$0,2021-10-24,$0,320000,Active,Alameda Research|Solana Ventures|FTX
LFJ,Decentralized trading platform on Avalanche,DeFi,https://lfj.gg,$5M,2021-06-01,$0,420000,Active,DeFiance Capital|GBV Capital|Mechanism Capital,@traderjoe_xyz,LFJ.webp
Big Time,An action RPG,Gaming,https://bigtime.gg,$10.3M,2020-01-01,$53.58M,320000,Active,FBG Capital|Digital Currency Group|North Island Ventures,@PlayBigTime,
0x,provides flexible smart contracts to build decentralized exchanges and trading protocols.,Decentralized exchanges,https://www.alchemy.com/dapps/0x,,,$5.8M,,Active,,@0x0exchange,https://icons.llama.fi/pond0x.png
CowSwap,Cowswap is a DEX facilitating trade of Ethereum-based tokens by matching supply with demand.,Decentralized exchanges,https://www.alchemy.com/dapps/cowswap,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1694675401/dapp-store/dapp-logos/CowSwap.jpg
Circle Yield,helps institutional investors lend out USDC in overcollateralized loans for interest.,DeFi yield farming,https://www.alchemy.com/dapps/circle-yield,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1694675418/dapp-store/dapp-logos/Circle Yield.png
Matcha,is a DEX aggregator offering swaps and limit orders for 6+ million tokens across 9 networks.+5,Decentralized exchanges,https://www.alchemy.com/dapps/matcha,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1716793608/dapp-store/dapp-logos/Matcha.png
Sushi,Leading multichain decentralized exchange for swapping cryptocurrency tokens.,Decentralized exchanges,https://www.alchemy.com/dapps/sushi,,,$59.8M,,Active,,@SushiSwap,https://icons.llama.fi/sushi-furo.png
Origin Dollar,Alchemy CustomerThe first stablecoin to earn a yield from your wallet.,DeFi yield aggregators,https://www.alchemy.com/dapps/origin-dollar,,,,,Active,,@OriginProtocol,https://icons.llama.fi/origin-dollar.png
Carbon,"Onchain trading protocol for limit and range orders, w. auto-rotating, one-directional liquidity.",Decentralized exchanges,https://www.alchemy.com/dapps/carbon,,,"$916,127",,Active,,@carbondefixyz,https://icons.llama.fi/cana-holdings-california-carbon-credits.jpg
PoolTogether,is a no loss prize savings protocol.,DeFi yield aggregators,https://www.alchemy.com/dapps/pooltogether,,,,,Active,,@GuardaWallet,https://icons.llama.fi/pooltogether-v4.png
Silo Finance,creates permissionless and risk-isolated lending markets.,Decentralized lending,https://www.alchemy.com/dapps/silo-finance,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1694675454/dapp-store/dapp-logos/Silo Finance.png
PropellerSwap,Building solvers for users and dApps to execute their trades at the best price possible.,Decentralized exchanges,https://www.alchemy.com/dapps/propellerswap,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1712253322/dapp-store/dapp-logos/PropellerSwap.png
Reflexer,is a platform where anyone can use their crypto collateral to mint stablecoins.,Decentralized CDPs,https://www.alchemy.com/dapps/reflexer,,,$1.9M,,Active,,@reflexerfinance,https://icons.llama.fi/reflexer.jpg
Enzyme Finance,Enzyme is an easy-to-use DeFi asset management system.,Decentralized indexes,https://www.alchemy.com/dapps/enzyme-finance,,,$10.2M,,Active,,@enzymefinance,https://icons.llama.fi/enzyme-finance.jpg
KyberSwap,Kyberswap is a DEX that aggregates liquidity from multiple DEXes to provide fast transactions.,Decentralized exchanges,https://www.alchemy.com/dapps/kyberswap,,,,,Active,,@KyberNetwork,https://icons.llama.fi/kyberswap-elastic.png
Paraswap,Alchemy Customer is a DeFi aggregator combining liquidity across multiple chains for seamless trading.,Decentralized exchanges,https://www.alchemy.com/dapps/paraswap,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1694675964/dapp-store/dapp-logos/Paraswap.jpg
PieDAO,Alchemy CustomerA DeFi-centered decentralized autonomous organization.,Decentralized indexes,https://www.alchemy.com/dapps/pie-dao,,,"$363,084",,Active,,@PieDAO_Defi,https://icons.llama.fi/piedao.jpg
Notional,"Alchemy Customer is the leading fixed rate, fixed term borrowing and lending protocol on Ethereum.",Decentralized lending,https://www.alchemy.com/dapps/notional,,,,,Active,,@NotionalFinance,https://icons.llama.fi/notional-v3.jpg
Unit Protocol,Access liquidity in the form of USDP stablecoin by putting up cryptocurrency as collateral.,Decentralized CDPs,https://www.alchemy.com/dapps/unit-protocol,,,,,Active,,@unitxyz,https://icons.llama.fi/unit-protocol.jpg
dHEDGE,"Alchemy CustomerSocialized asset management on Ethereum, Optimism, and Polygon.",Decentralized indexes,https://www.alchemy.com/dapps/dhedge,,,,,Active,,@dHedgeOrg,https://icons.llama.fi/dhedge-vaults.png
Cream Finance,Alchemy CustomerC.R.E.A.M finance is a Defi protocol allowing users to stake tokens and quickly acquire loans.,Decentralized lending,https://www.alchemy.com/dapps/cream-finance,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1694675478/dapp-store/dapp-logos/Cream Finance.png
Curve Finance,is a DEX allowing efficient trading of stablecoins with low slippage.,Decentralized exchanges,https://www.alchemy.com/dapps/curve-finance,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1694675537/dapp-store/dapp-logos/Curve%20Finance.svg
Yearn Finance,Alchemy Customer is a yield aggregator that uses vaults to earn passive income for its users.,DeFi yield aggregators,https://www.alchemy.com/dapps/yearn,,,,,Active,,@yearnfi,https://icons.llama.fi/yearn-finance.jpg
DODO,Alchemy CustomerDodo is a DEX enabling trade of fungible and non-fungible tokens across blockchains.,Decentralized exchanges,https://www.alchemy.com/dapps/dodo,,,,,Active,,@BreederDodo,https://icons.llama.fi/dodo-amm.jpg
Bancor,Alchemy Customer is a staking platform and automated market maker on the Ethereum and EOS blockchain.,Decentralized exchanges,https://www.alchemy.com/dapps/bancor,,,,,Active,,@Bancor,https://icons.llama.fi/bancor.png
Convex Finance,Alchemy Customer is a boosted yield optimizer for Curve Finance's CRV tokens.,DeFi yield aggregators,https://www.alchemy.com/dapps/convex-finance,,,$174.6M,,Active,,@ConvexFinance,https://icons.llama.fi/convex-finance.jpg
Loopring,Alchemy Customer is a zkRollup-powered Layer-2 facilitating non-custodial exchange and payment protocols.,Decentralized exchanges,https://www.alchemy.com/dapps/loopring,,,$23.1M,,Active,,@loopringorg,https://icons.llama.fi/loop.png
AirSwap,Alchemy CustomerAirswap is a decentralized exchange that focuses on peer-to-peer trading with zero slippage.,Decentralized exchanges,https://www.alchemy.com/dapps/airswap,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1694675870/dapp-store/dapp-logos/AirSwap.svg
RhinoFi,"Alchemy CustomerRhino.fi is the lightning-fast stablecoin liquidity layer enabling instant, scalable cross-chain access.+11",Decentralized exchanges,https://www.alchemy.com/dapps/rhinofi,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1752257076/dapp-store/dapp-logos/RhinoFi.png
Multichain,"Alchemy Customer, formerly Anyswap, allows users to perform cross-chain token swaps across 66 blockchains.",Decentralized exchanges,https://www.alchemy.com/dapps/multichain,,,,,Active,,@MultichainOrg,https://icons.llama.fi/multichainz.png
TrueFi,employs a credit verification system providing DeFi lending that is uniquely collateral-free.,Decentralized lending,https://www.alchemy.com/dapps/truefi,,,$7.8M,,Active,,@TrueFiDAO,https://icons.llama.fi/truefi.jpg
Badger Finance,Alchemy CustomerBadgerDAO is a decentralized autonomous organization that lets users use Bitcoin in DeFi.,DeFi yield farming,https://www.alchemy.com/dapps/badger-finance,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1694675492/dapp-store/dapp-logos/Badger Finance.png
Maple,Alchemy Customer Finance is an Institutional capital network built on Ethereum and Solana.,Decentralized lending,https://www.alchemy.com/dapps/maple-finance,,,,,Active,,@maplefinance,https://icons.llama.fi/maple-rwa.jpg
Bamboo Relay,"Alchemy Customer0x relayer protocol for trading, lending, and borrowing ERC-20 tokens from individual's wallets.",Decentralized exchanges,https://www.alchemy.com/dapps/bamboo-relay,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1694675491/dapp-store/dapp-logos/Bamboo Relay.png
Snowball,"Alchemy Customer Money, an intuitive savings app, harnesses DeFi to offer users competitive interest rates.",DeFi yield farming,https://www.alchemy.com/dapps/snowball,,,,,Active,,,https://res.cloudinary.com/alchemy-website/image/upload/v1694675983/dapp-store/dapp-logos/Snowball.png
Ooki,Alchemy CustomerAn Ethereum-based decentralized exchange.,Decentralized exchanges,https://www.alchemy.com/dapps/ooki,,,$0,,Active,,@OokiTrade,https://icons.llama.fi/ooki.jpg
PWN,Alchemy CustomerThe  platform allows users to put digital assets up as collateral for loans.,NFT lending,https://www.alchemy.com/dapps/pwn,,,,,Active,,@pwndao,https://icons.llama.fi/pwn.jpg
